provnum,msr_cd,msr_descr,avg_value,ownership,inhosp,adj_total,adj_rn
335428,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",2.2,"Government - County",YES,4.07725,0.33668
335429,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.6,"Non profit - Corporation",NO,3.93287,0.55013
335431,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",4.7,"Non profit - Corporation",NO,3.70122,0.30946
335432,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",15.4,"Non profit - Corporation",NO,3.33813,0.54501
335433,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",6.8,"For profit - Corporation",NO,2.78339,0.44236
335434,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",10,"For profit - Corporation",NO,1.84196,0.27657
335435,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",9.8,"Non profit - Corporation",YES,4.30012,0.64848
335436,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",10.3,"Non profit - Corporation",YES,2.84452,0.50325
15015,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.6,"For profit - Corporation",NO,4.04971,0.33305
335437,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",10.3,"For profit - Corporation",NO,4.89554,0.69404
335438,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",1.6,"For profit - Corporation",NO,3.21562,0.51929
335439,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.9,"For profit - Corporation",NO,4.04147,0.25945
335440,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",3.2,"For profit - Corporation",NO,3.29632,0.47221
335441,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",6.7,"For profit - Partnership",NO,3.54059,0.4365
335442,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.8,"Non profit - Corporation",YES,4.63652,0.87604
335445,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",14.4,"For profit - Individual",NO,4.98477,0.60316
335446,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",4.1,"For profit - Corporation",NO,3.07566,0.5374
335447,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",13.5,"For profit - Corporation",NO,4.59319,0.37826
335448,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",6.7,"For profit - Corporation",NO,3.23428,0.4123
15016,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",2.2,"For profit - Corporation",NO,4.03864,0.31629
335449,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",9.2,"For profit - Corporation",NO,3.43729,0.31802
335451,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",11.4,"For profit - Individual",NO,3.63509,0.29181
335453,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",11.4,"For profit - Corporation",YES,3.91104,0.5151
335454,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.2,"Non profit - Corporation",NO,3.7382,0.3971
335455,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.6,"For profit - Corporation",NO,3.1594,0.40155
335457,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",10.2,"For profit - Corporation",NO,2.71168,0.44221
335458,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",8,"For profit - Corporation",NO,5.29728,0.54979
335459,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",8.9,"For profit - Partnership",NO,4.23594,0.42672
335460,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",7.9,"Non profit - Corporation",NO,3.66488,0.32151
335461,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",12.9,"Government - City",NO,4.94281,0.77149
15019,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.9,"For profit - Corporation",NO,4.18733,0.69608
335462,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",9.6,"For profit - Corporation",NO,3.10633,0.38084
335464,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",7.6,"Non profit - Corporation",NO,3.67261,0.33553
335465,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",3.8,"Non profit - Corporation",NO,3.85978,0.43103
335466,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",2.7,"For profit - Corporation",NO,3.92903,0.35392
335467,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",2.2,"For profit - Corporation",NO,3.60949,0.64593
335468,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",4.4,"Non profit - Corporation",NO,4.63417,0.46502
335470,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",11.3,"For profit - Corporation",NO,4.48324,0.46254
335471,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",0.9,"Non profit - Corporation",NO,4.79362,0.51061
335472,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",13.1,"For profit - Individual",NO,3.24225,0.2357
335473,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",9.2,"For profit - Corporation",NO,3.59364,0.13904
15023,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",6.4,"For profit - Corporation",NO,4.6342,0.54082
335475,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",6.2,"Non profit - Corporation",NO,4.66659,0.51797
335476,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",4.5,"Non profit - Corporation",NO,4.13407,0.42408
335478,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",10.8,"For profit - Corporation",NO,4.96567,0.49524
335480,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.6,"Government - County",NO,3.82563,0.49521
335481,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",8.3,"Non profit - Corporation",NO,4.34925,0.43458
335482,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.2,"Non profit - Corporation",NO,4.08664,0.57328
335483,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",10.6,"For profit - Corporation",NO,3.02484,0.40455
335484,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",11.8,"Non profit - Corporation",NO,3.85175,0.29899
335485,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",4.9,"Government - County",NO,3.29622,0.3916
335486,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",7.9,"For profit - Partnership",NO,2.75416,0.20435
15024,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",3.1,"For profit - Corporation",NO,5.17253,0.37594
335487,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",6.7,"Non profit - Corporation",NO,3.71906,0.47164
335488,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.8,"Non profit - Corporation",NO,3.59991,0.39402
335489,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",6,"For profit - Corporation",NO,3.31281,0.36618
335490,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",4.3,"Non profit - Corporation",NO,4.10375,0.61237
335491,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",9.4,"Non profit - Corporation",NO,3.30715,0.60607
335493,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",10.7,"For profit - Corporation",NO,2.61544,0.35023
335494,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",4.7,"Non profit - Corporation",NO,4.23745,0.37637
335495,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",20.8,"For profit - Corporation",NO,3.02484,0.33802
335497,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",8.9,"Non profit - Corporation",NO,5.65974,0.66833
335498,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",9.8,"For profit - Corporation",NO,3.94507,0.30465
15027,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.2,"For profit - Corporation",NO,1.56614,0.44846
335500,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",7,"Non profit - Corporation",NO,3.32642,0.41944
335502,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",8.4,"For profit - Corporation",NO,2.67114,0.42005
335503,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",10.7,"For profit - Corporation",NO,4.74078,0.50379
335504,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",2.5,"For profit - Corporation",NO,4.05133,0.45269
335505,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",11.3,"For profit - Corporation",NO,2.94928,0.20241
335506,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",10.7,"For profit - Corporation",NO,4.37619,0.56136
335507,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",3.2,"For profit - Corporation",NO,3.34343,0.45564
335508,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",3.7,"For profit - Partnership",NO,3.10587,0.31874
335510,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",8.7,"For profit - Corporation",NO,5.08455,0.45471
335511,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.1,"For profit - Corporation",NO,3.92973,0.42282
15028,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",8.1,"For profit - Corporation",NO,3.89151,0.86855
335513,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",11,"Non profit - Corporation",NO,1.55892,0.3549
335514,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",4.9,"For profit - Corporation",NO,3.11477,0.28763
335515,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",9.2,"Non profit - Other",NO,2.72386,0.35021
335516,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",11.7,"For profit - Partnership",NO,3.55261,0.29092
335517,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",3.4,"For profit - Corporation",NO,3.27586,0.39492
335518,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",4.9,"Government - County",NO,3.70752,0.35358
335520,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",2.2,"Non profit - Corporation",NO,3.91728,0.50873
335521,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",8.6,"Non profit - Corporation",NO,2.94526,0.45978
335522,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",13,"Non profit - Corporation",NO,3.02619,0.23615
335523,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",10.8,"Non profit - Corporation",NO,3.88321,0.73576
15031,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",9.3,"For profit - Corporation",NO,4.07696,0.49666
335524,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",6.7,"Non profit - Corporation",NO,3.00539,0.39156
335525,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",13.4,"For profit - Corporation",NO,3.40544,0.34843
335526,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",13,"For profit - Partnership",NO,3.06789,0.34154
335527,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",3.1,"Non profit - Corporation",NO,4.72949,0.38077
335528,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",12.9,"For profit - Individual",NO,3.96442,0.50064
335531,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",6.7,"For profit - Partnership",NO,3.01442,0.49133
335532,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",4.9,"For profit - Individual",NO,4.09701,0.45551
335533,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",6.4,"For profit - Corporation",NO,2.86995,0.31847
335534,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",15.2,"For profit - Corporation",NO,3.41595,0.35704
335537,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",16.4,"Non profit - Corporation",YES,2.9745,0.55142
15032,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",9.3,"For profit - Corporation",NO,3.63478,0.78021
335538,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",19.3,"Non profit - Church related",NO,2.94093,0.29439
335539,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",3.7,"Non profit - Church related",NO,3.58781,0.57806
335540,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",14.5,"For profit - Corporation",NO,4.69645,0.39096
335541,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",4.6,"Non profit - Corporation",NO,4.33644,0.55893
335543,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",6.6,"For profit - Corporation",NO,3.99547,0.38577
335545,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",11.8,"Non profit - Corporation",NO,3.51339,0.4776
335546,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",6.4,"For profit - Corporation",NO,3.69569,0.61452
335548,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.3,"For profit - Corporation",NO,3.72807,0.44647
335549,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.4,"Government - County",NO,4.54661,0.56026
15034,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",3.1,"For profit - Corporation",NO,4.03423,0.27553
335553,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",1.3,"Non profit - Corporation",NO,4.72021,0.92913
335554,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",3.7,"For profit - Corporation",NO,3.92937,0.49005
335555,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",8,"For profit - Corporation",NO,3.75468,0.59586
335556,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",12.3,"For profit - Individual",NO,2.00044,0.18432
335557,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",10.8,"Non profit - Corporation",NO,2.98529,0.2718
335558,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",7,"For profit - Partnership",NO,2.78649,0.3179
335559,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",15,"For profit - Corporation",NO,3.26149,0.45641
335560,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",12.3,"Non profit - Corporation",NO,2.65154,0.29023
335561,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.2,"For profit - Partnership",NO,2.98071,0.51762
335562,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",8.7,"Government - County",NO,3.66524,0.30565
15035,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.3,"For profit - Corporation",NO,4.78939,0.60986
335563,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.3,"Non profit - Corporation",YES,4.3904,0.52453
335564,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",6.2,"Government - County",NO,6.39486,0.71691
335565,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",8.9,"For profit - Corporation",NO,2.92871,0.35629
335566,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",0.5,"Non profit - Corporation",NO,4.14311,0.47003
335568,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",7.9,"For profit - Corporation",NO,3.42053,0.29951
335569,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.1,"Non profit - Corporation",NO,3.99498,0.47813
335570,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.1,"Non profit - Corporation",NO,4.25605,0.71404
335571,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",12,"For profit - Corporation",NO,2.35825,0.18399
335572,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.3,"For profit - Corporation",NO,4.92682,0.60287
335573,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",1.8,"For profit - Partnership",NO,4.2491,0.67924
15037,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",14.5,"For profit - Corporation",NO,3.29802,0.50658
335574,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",7.9,"Non profit - Corporation",YES,3.57986,0.47202
335576,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.2,"Non profit - Church related",NO,5.17209,0.53911
335577,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",4.7,"For profit - Corporation",NO,3.21145,0.5017
335578,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.6,"For profit - Partnership",NO,4.21262,0.40881
335579,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5,"For profit - Corporation",NO,3.66221,0.39346
335581,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",8.5,"For profit - Partnership",NO,3.25257,0.29661
335582,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",6.2,"For profit - Corporation",NO,1.81456,0.369
335583,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",7.1,"Non profit - Corporation",NO,3.43007,0.26778
335585,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.1,"For profit - Corporation",NO,3.6537,0.3399
335586,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.7,"For profit - Corporation",NO,3.95158,0.49948
15040,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5,"For profit - Corporation",NO,3.30469,0.64577
335587,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",2.6,"For profit - Corporation",NO,3.53552,0.15127
335588,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",10,"For profit - Corporation",NO,4.88056,0.58268
335589,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",9.1,"For profit - Individual",NO,5.3175,0.59546
335590,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",13.1,"For profit - Corporation",NO,3.1019,0.18631
335592,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",4,"For profit - Individual",NO,3.76423,0.55571
335593,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",11.8,"For profit - Individual",NO,3.73653,0.32412
335595,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",8.3,"For profit - Individual",NO,2.96219,0.41352
335596,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",6.8,"For profit - Partnership",NO,4.48204,0.53569
335598,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",11.1,"Government - County",NO,3.88992,0.43937
335600,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",13.3,"Non profit - Corporation",NO,4.33484,0.30455
15042,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",4.8,"For profit - Corporation",NO,5.20909,0.34823
335601,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",2.8,"Non profit - Corporation",NO,3.77575,0.41965
335603,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",3.3,"For profit - Corporation",NO,3.96865,0.73549
335604,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",7.9,"For profit - Corporation",NO,3.24384,0.32042
335606,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",2.9,"Non profit - Corporation",NO,4.17222,0.96971
335607,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",3.2,"For profit - Individual",NO,3.07045,0.39491
335609,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5,"For profit - Partnership",NO,3.72128,0.3149
335610,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",11.6,"For profit - Individual",NO,2.73141,0.23387
335611,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",10.6,"For profit - Corporation",NO,3.09131,0.64044
335612,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",3.5,"Non profit - Corporation",NO,4.11825,0.4466
335613,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",6.5,"Non profit - Corporation",NO,3.64469,0.57031
15043,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",13.2,"For profit - Corporation",NO,3.63291,0.48657
335614,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",18.8,"For profit - Partnership",NO,3.99406,0.62696
335615,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",9.1,"For profit - Individual",NO,4.3972,0.63832
335618,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",2.4,"For profit - Individual",NO,4.15005,0.73921
335619,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",12.1,"For profit - Corporation",NO,3.86954,0.56545
335620,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",9.2,"Non profit - Corporation",YES,4.9691,0.56581
335621,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.7,"Non profit - Corporation",NO,3.83926,0.46729
335625,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",14.1,"Non profit - Corporation",NO,2.81539,0.37177
335626,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",19.9,"Non profit - Corporation",NO,3.6563,0.30834
335627,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",4.3,"Non profit - Corporation",NO,4.37403,0.41584
15044,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",12.2,"For profit - Corporation",NO,4.54572,0.48198
335628,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",12.7,"Government - County",NO,4.74943,0.55156
335629,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",8.7,"Non profit - Corporation",NO,2.60845,0.38292
335631,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",7.4,"Non profit - Corporation",NO,3.34683,0.28815
335632,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",2.3,"Government - County",NO,4.34399,0.40359
335634,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",4.2,"For profit - Corporation",NO,4.39608,0.61609
335635,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",4.8,"For profit - Corporation",NO,3.62428,0.41218
335636,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",8.4,"Non profit - Corporation",NO,2.97527,0.31055
335637,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",7.3,"For profit - Corporation",NO,3.27385,0.38868
335638,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",10.7,"For profit - Corporation",NO,4.48718,0.61881
335639,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",6.9,"Non profit - Corporation",YES,3.50875,0.4805
15045,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",11.5,"Non profit - Other",YES,4.17698,0.60683
335640,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",11.5,"For profit - Corporation",NO,3.16909,0.37174
335641,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.5,"For profit - Corporation",NO,3.0036,0.3131
335642,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",14.4,"For profit - Partnership",NO,3.75172,0.38143
335644,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",9.6,"For profit - Corporation",NO,3.17343,0.2934
335645,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",6.1,"Non profit - Corporation",NO,3.59857,0.37168
335647,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",6.7,"For profit - Individual",NO,2.88667,0.21449
335648,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",15.5,"For profit - Individual",NO,3.25706,0.54393
335649,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.3,"For profit - Corporation",NO,4.15266,0.51161
335650,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",12.9,"Government - County",YES,4.26524,0.5195
335652,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",7.8,"For profit - Individual",NO,3.2529,0.2605
15047,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",8.7,"For profit - Corporation",NO,4.95443,0.32243
335653,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",9.6,"Non profit - Corporation",NO,2.94978,0.35178
335655,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",7.7,"For profit - Partnership",NO,3.43529,0.31006
335656,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",13.6,"For profit - Partnership",NO,3.16454,0.52722
335657,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",10.2,"For profit - Corporation",NO,3.25149,0.49154
