provider_id,hospital_ownership,emergency_services,cpcd,pecd,hsbp,readmission,c_diff_compared
60034,Proprietary,Yes,73.33,31,1.02,15,"Worse than the U.S. National Benchmark"
60064,"Voluntary non-profit - Church",Yes,65,47,0.97,16,"Better than the U.S. National Benchmark"
60100,Proprietary,Yes,63.33,34,1.05,15,"Worse than the U.S. National Benchmark"
60104,"Voluntary non-profit - Church",Yes,70,32,0.97,17,"Worse than the U.S. National Benchmark"
70002,"Voluntary non-profit - Church",Yes,48.33,35,1.04,16,"Worse than the U.S. National Benchmark"
50038,"Government - Local",Yes,51.67,44,0.96,16,"Better than the U.S. National Benchmark"
50040,"Voluntary non-profit - Other",Yes,51,13,0.82,17,"Better than the U.S. National Benchmark"
50042,"Voluntary non-profit - Church",Yes,61,36,0.87,15,"Better than the U.S. National Benchmark"
50054,"Government - Hospital District or Authority",Yes,45,19,0.96,16,"Worse than the U.S. National Benchmark"
50057,"Government - Hospital District or Authority",Yes,50.83,21,0.95,15,"Better than the U.S. National Benchmark"
50060,"Voluntary non-profit - Private",Yes,40.83,30,0.99,18,"Better than the U.S. National Benchmark"
50084,"Voluntary non-profit - Church",Yes,65.83,25,1.01,16,"Worse than the U.S. National Benchmark"
50091,"Voluntary non-profit - Private",Yes,73.33,43,1.01,17,"Better than the U.S. National Benchmark"
50103,"Voluntary non-profit - Church",Yes,39.17,45,1.04,17,"Worse than the U.S. National Benchmark"
50107,"Voluntary non-profit - Church",Yes,50,43,0.93,15,"Better than the U.S. National Benchmark"
50112,"Government - State",Yes,87.27,31,1.02,18,"Worse than the U.S. National Benchmark"
50128,"Government - Hospital District or Authority",Yes,60,25,1.01,16,"Better than the U.S. National Benchmark"
50129,"Voluntary non-profit - Private",Yes,55.83,28,1.05,14,"Worse than the U.S. National Benchmark"
50133,"Voluntary non-profit - Other",Yes,51.67,11,0.89,17,"Worse than the U.S. National Benchmark"
50145,"Voluntary non-profit - Private",Yes,36.67,63,0.95,13,"Better than the U.S. National Benchmark"
50149,"Voluntary non-profit - Other",Yes,61,17,0.95,18,"Better than the U.S. National Benchmark"
50153,"Voluntary non-profit - Church",Yes,56.67,40,1.01,16,"Worse than the U.S. National Benchmark"
50179,"Voluntary non-profit - Church",Yes,56.67,14,0.98,17,"Worse than the U.S. National Benchmark"
50189,"Voluntary non-profit - Other",Yes,50,37,0.86,16,"Better than the U.S. National Benchmark"
50195,"Government - Hospital District or Authority",Yes,49.17,27,0.97,17,"Worse than the U.S. National Benchmark"
50224,"Voluntary non-profit - Private",Yes,48.33,41,1.02,15,"Worse than the U.S. National Benchmark"
50225,"Voluntary non-profit - Church",Yes,31,25,0.9,15,"Worse than the U.S. National Benchmark"
50228,"Government - Local",Yes,62.73,13,0.91,17,"Better than the U.S. National Benchmark"
50231,"Voluntary non-profit - Private",Yes,78.33,15,1.06,16,"Worse than the U.S. National Benchmark"
50235,"Voluntary non-profit - Church",Yes,68.33,33,1.04,17,"Worse than the U.S. National Benchmark"
50236,"Voluntary non-profit - Church",Yes,40,43,1.03,15,"Worse than the U.S. National Benchmark"
50238,"Voluntary non-profit - Church",Yes,50,24,1.02,16,"Worse than the U.S. National Benchmark"
50248,"Government - Hospital District or Authority",Yes,10,24,1.01,16,"Better than the U.S. National Benchmark"
50262,"Government - State",Yes,80.83,53,0.98,18,"Worse than the U.S. National Benchmark"
50272,"Government - Federal",Yes,65,51,0.92,15,"Worse than the U.S. National Benchmark"
50277,Proprietary,Yes,62,44,1.17,15,"Better than the U.S. National Benchmark"
50278,"Voluntary non-profit - Church",Yes,49.17,34,1.02,17,"Worse than the U.S. National Benchmark"
50289,"Voluntary non-profit - Church",Yes,29.17,28,1,15,"Worse than the U.S. National Benchmark"
50292,"Government - Local",Yes,61,10,0.93,17,"Better than the U.S. National Benchmark"
50295,"Voluntary non-profit - Other",Yes,33,14,1.04,16,"Worse than the U.S. National Benchmark"
50336,"Voluntary non-profit - Other",Yes,45,25,1.05,15,"Worse than the U.S. National Benchmark"
50350,"Voluntary non-profit - Private",Yes,50.83,28,1.1,16,"Worse than the U.S. National Benchmark"
50367,"Voluntary non-profit - Other",Yes,39.17,24,0.98,17,"Worse than the U.S. National Benchmark"
50373,"Government - Local",Yes,52.5,20,0.96,17,"Better than the U.S. National Benchmark"
50378,Proprietary,Yes,16.67,26,1.07,18,"Better than the U.S. National Benchmark"
50390,"Government - State",Yes,8,8,1.04,16,"Worse than the U.S. National Benchmark"
50393,"Voluntary non-profit - Private",Yes,37.5,11,1.09,17,"Better than the U.S. National Benchmark"
50424,"Voluntary non-profit - Private",No,90,63,0.94,15,"Worse than the U.S. National Benchmark"
50441,"Voluntary non-profit - Private",Yes,66.67,51,0.99,16,"Worse than the U.S. National Benchmark"
50454,"Voluntary non-profit - Other",Yes,55.83,38,0.98,16,"Worse than the U.S. National Benchmark"
50488,"Voluntary non-profit - Other",Yes,57,18,1.04,16,"Worse than the U.S. National Benchmark"
50502,"Voluntary non-profit - Church",Yes,70,43,1.03,16,"Worse than the U.S. National Benchmark"
50549,Proprietary,Yes,65.83,23,1,16,"Worse than the U.S. National Benchmark"
50573,Proprietary,Yes,77.5,38,0.96,14,"Worse than the U.S. National Benchmark"
50575,"Government - Hospital District or Authority",Yes,24,31,1.32,16,"Better than the U.S. National Benchmark"
50616,"Voluntary non-profit - Church",Yes,59,42,1.06,15,"Worse than the U.S. National Benchmark"
50625,"Voluntary non-profit - Other",Yes,54.17,40,1.04,16,"Worse than the U.S. National Benchmark"
50641,Proprietary,Yes,71.25,17,1.05,17,"Better than the U.S. National Benchmark"
50663,Proprietary,Yes,55.56,23,1.36,16,"Better than the U.S. National Benchmark"
50684,"Government - Hospital District or Authority",Yes,52,36,1.03,16,"Worse than the U.S. National Benchmark"
100264,"Voluntary non-profit - Other",Yes,92.5,17,1.02,17,"Worse than the U.S. National Benchmark"
100266,"Voluntary non-profit - Other",Yes,83,68,0.99,16,"Better than the U.S. National Benchmark"
100284,Proprietary,Yes,84,31,1.08,18,"Better than the U.S. National Benchmark"
100288,Proprietary,Yes,34,38,1.11,17,"Better than the U.S. National Benchmark"
100289,Proprietary,Yes,60.83,31,0.99,18,"Worse than the U.S. National Benchmark"
100290,"Voluntary non-profit - Private",Yes,55.45,11,1.01,16,"Better than the U.S. National Benchmark"
100292,"Voluntary non-profit - Other",Yes,61.82,87,0.98,15,"Better than the U.S. National Benchmark"
110007,"Government - Hospital District or Authority",Yes,48.33,37,0.97,16,"Better than the U.S. National Benchmark"
110024,"Voluntary non-profit - Other",Yes,44,23,1.02,15,"Worse than the U.S. National Benchmark"
110025,"Government - Hospital District or Authority",Yes,74.55,21,0.94,15,"Better than the U.S. National Benchmark"
110029,"Government - Local",Yes,56.67,53,0.91,15,"Better than the U.S. National Benchmark"
110031,Proprietary,Yes,50,22,1.02,16,"Better than the U.S. National Benchmark"
110038,"Voluntary non-profit - Private",Yes,50,59,0.99,15,"Better than the U.S. National Benchmark"
110054,"Government - Hospital District or Authority",Yes,54.55,42,0.98,16,"Better than the U.S. National Benchmark"
110064,"Voluntary non-profit - Other",Yes,48,22,1.04,16,"Better than the U.S. National Benchmark"
110074,"Voluntary non-profit - Other",Yes,49.17,44,0.94,15,"Better than the U.S. National Benchmark"
70011,"Voluntary non-profit - Private",Yes,63,37,1.02,15,"Worse than the U.S. National Benchmark"
70016,"Voluntary non-profit - Other",Yes,79.17,20,1.05,15,"Better than the U.S. National Benchmark"
70018,"Voluntary non-profit - Private",Yes,33.64,50,0.98,17,"Better than the U.S. National Benchmark"
70020,"Voluntary non-profit - Private",Yes,51,53,0.99,17,"Better than the U.S. National Benchmark"
70022,"Voluntary non-profit - Private",Yes,53.33,41,1.03,18,"Worse than the U.S. National Benchmark"
70024,"Voluntary non-profit - Other",Yes,71,37,1.04,16,"Worse than the U.S. National Benchmark"
70025,"Voluntary non-profit - Private",Yes,51.67,40,1,16,"Worse than the U.S. National Benchmark"
90003,"Voluntary non-profit - Other",Yes,47.27,18,0.93,18,"Better than the U.S. National Benchmark"
90006,"Voluntary non-profit - Private",Yes,31,22,1,18,"Better than the U.S. National Benchmark"
90008,Proprietary,Yes,17,7,1.06,17,"Better than the U.S. National Benchmark"
100001,"Voluntary non-profit - Private",Yes,75,45,1.01,17,"Worse than the U.S. National Benchmark"
100002,"Voluntary non-profit - Private",Yes,54.17,20,1.12,17,"Better than the U.S. National Benchmark"
100006,"Voluntary non-profit - Private",Yes,34.17,48,1.02,16,"Better than the U.S. National Benchmark"
100014,"Voluntary non-profit - Private",Yes,63.64,55,0.97,16,"Worse than the U.S. National Benchmark"
100017,"Government - Hospital District or Authority",Yes,65.83,44,1.02,16,"Better than the U.S. National Benchmark"
100023,"Government - Hospital District or Authority",Yes,42.5,14,1.03,14,"Better than the U.S. National Benchmark"
100026,"Government - Hospital District or Authority",Yes,68.33,27,1.05,15,"Better than the U.S. National Benchmark"
100029,Proprietary,Yes,42.5,12,1.14,17,"Worse than the U.S. National Benchmark"
100034,Proprietary,Yes,34.17,29,1.09,16,"Better than the U.S. National Benchmark"
100038,"Government - Hospital District or Authority",Yes,89.17,57,1.05,18,"Worse than the U.S. National Benchmark"
100039,"Government - Hospital District or Authority",Yes,82.5,17,1.03,16,"Better than the U.S. National Benchmark"
100040,"Voluntary non-profit - Church",Yes,71.67,34,1.02,18,"Worse than the U.S. National Benchmark"
100044,"Voluntary non-profit - Private",Yes,22.5,20,1.05,15,"Worse than the U.S. National Benchmark"
100076,Proprietary,Yes,88.75,16,1.08,17,"Worse than the U.S. National Benchmark"
100080,Proprietary,Yes,96.67,15,1.09,17,"Better than the U.S. National Benchmark"
100084,"Voluntary non-profit - Private",Yes,35,9,1.01,17,"Better than the U.S. National Benchmark"
100086,"Government - Hospital District or Authority",Yes,99.09,43,1.04,16,"Better than the U.S. National Benchmark"
100088,"Voluntary non-profit - Private",Yes,32.5,31,1.09,16,"Better than the U.S. National Benchmark"
100090,"Voluntary non-profit - Private",Yes,58.33,31,1.03,15,"Worse than the U.S. National Benchmark"
100102,"Voluntary non-profit - Private",Yes,35.56,10,1.04,17,"Better than the U.S. National Benchmark"
100105,"Government - Hospital District or Authority",Yes,39.17,20,1.04,14,"Better than the U.S. National Benchmark"
100109,"Voluntary non-profit - Church",Yes,60.91,45,1.05,16,"Better than the U.S. National Benchmark"
100110,Proprietary,Yes,74.17,16,1.05,18,"Better than the U.S. National Benchmark"
100125,"Voluntary non-profit - Private",Yes,81,78,1.01,16,"Better than the U.S. National Benchmark"
100128,"Voluntary non-profit - Private",Yes,30.83,41,1.01,17,"Better than the U.S. National Benchmark"
100131,"Voluntary non-profit - Private",Yes,70.83,25,1.08,19,"Better than the U.S. National Benchmark"
100137,Proprietary,Yes,90,10,1.02,17,"Better than the U.S. National Benchmark"
100142,"Government - Hospital District or Authority",Yes,62,61,1.01,17,"Better than the U.S. National Benchmark"
100166,Proprietary,Yes,85.45,38,1.08,14,"Better than the U.S. National Benchmark"
100167,Proprietary,Yes,65.83,35,1.08,17,"Better than the U.S. National Benchmark"
100175,"Voluntary non-profit - Private",Yes,6.67,35,0.96,18,"Worse than the U.S. National Benchmark"
100176,Proprietary,Yes,59.17,19,1.05,16,"Better than the U.S. National Benchmark"
100187,Proprietary,Yes,67.5,28,1.1,17,"Better than the U.S. National Benchmark"
100209,Proprietary,Yes,77.5,26,1.04,17,"Better than the U.S. National Benchmark"
100217,Proprietary,Yes,100,25,0.99,16,"Better than the U.S. National Benchmark"
100220,"Government - Hospital District or Authority",Yes,50.83,33,1.04,17,"Worse than the U.S. National Benchmark"
100223,Proprietary,Yes,75.83,24,1.02,15,"Better than the U.S. National Benchmark"
100230,"Government - Hospital District or Authority",Yes,96,44,0.96,16,"Worse than the U.S. National Benchmark"
100236,Proprietary,Yes,90,22,1.05,16,"Worse than the U.S. National Benchmark"
100244,"Government - Hospital District or Authority",Yes,33,44,1.03,16,"Worse than the U.S. National Benchmark"
100246,Proprietary,Yes,95.83,14,1.08,16,"Better than the U.S. National Benchmark"
100249,Proprietary,Yes,35,26,1.07,14,"Worse than the U.S. National Benchmark"
100253,"Voluntary non-profit - Private",Yes,65,22,1.02,16,"Better than the U.S. National Benchmark"
100254,Proprietary,Yes,69.17,21,1.09,18,"Better than the U.S. National Benchmark"
100258,Proprietary,Yes,82.5,9,1.09,16,"Better than the U.S. National Benchmark"
100259,Proprietary,Yes,76,31,1.07,16,"Worse than the U.S. National Benchmark"
150021,"Voluntary non-profit - Private",Yes,58.33,41,1.01,14,"Better than the U.S. National Benchmark"
150024,"Government - Local",Yes,66,48,0.94,15,"Better than the U.S. National Benchmark"
150026,"Voluntary non-profit - Private",Yes,39.09,54,1.02,16,"Better than the U.S. National Benchmark"
150034,"Voluntary non-profit - Private",Yes,85,50,1.01,18,"Worse than the U.S. National Benchmark"
150048,"Voluntary non-profit - Private",Yes,71.67,44,1.01,15,"Worse than the U.S. National Benchmark"
150056,"Voluntary non-profit - Private",Yes,45,35,1.02,17,"Worse than the U.S. National Benchmark"
150058,"Voluntary non-profit - Private",Yes,68.33,46,0.98,15,"Better than the U.S. National Benchmark"
150074,"Voluntary non-profit - Private",Yes,48.18,27,1,15,"Better than the U.S. National Benchmark"
150084,"Voluntary non-profit - Church",Yes,49.17,25,1.04,14,"Better than the U.S. National Benchmark"
150090,"Voluntary non-profit - Private",Yes,53.33,38,1.08,17,"Better than the U.S. National Benchmark"
150097,"Government - Local",Yes,72,69,1.01,15,"Worse than the U.S. National Benchmark"
150112,"Government - Local",Yes,58.33,42,0.96,15,"Better than the U.S. National Benchmark"
150115,"Voluntary non-profit - Church",Yes,52.73,81,0.95,14,"Better than the U.S. National Benchmark"
150125,"Voluntary non-profit - Private",Yes,49.17,64,1.05,16,"Worse than the U.S. National Benchmark"
150133,Proprietary,Yes,64,42,0.98,17,"Better than the U.S. National Benchmark"
150162,"Voluntary non-profit - Church",Yes,65,44,1.04,15,"Better than the U.S. National Benchmark"
110079,"Voluntary non-profit - Other",Yes,50.91,31,0.94,17,"Better than the U.S. National Benchmark"
110083,"Voluntary non-profit - Private",Yes,40.83,30,0.97,14,"Worse than the U.S. National Benchmark"
110089,"Government - Hospital District or Authority",Yes,97,76,0.86,18,"Better than the U.S. National Benchmark"
110095,"Government - Hospital District or Authority",Yes,53.64,33,0.89,16,"Better than the U.S. National Benchmark"
110105,"Government - Hospital District or Authority",Yes,75,24,0.97,16,"Better than the U.S. National Benchmark"
110107,"Government - Hospital District or Authority",Yes,51.67,31,1.01,16,"Better than the U.S. National Benchmark"
110122,"Government - Hospital District or Authority",Yes,50,51,0.95,15,"Better than the U.S. National Benchmark"
110125,Proprietary,Yes,90.91,39,0.92,15,"Worse than the U.S. National Benchmark"
110129,"Voluntary non-profit - Private",Yes,48.33,33,1.01,15,"Better than the U.S. National Benchmark"
110164,"Voluntary non-profit - Private",Yes,79.17,22,1,18,"Better than the U.S. National Benchmark"
110165,"Voluntary non-profit - Private",Yes,57.27,10,1.01,15,"Better than the U.S. National Benchmark"
110191,"Government - Hospital District or Authority",Yes,60,17,0.98,15,"Better than the U.S. National Benchmark"
110201,Proprietary,Yes,80,31,1,17,"Better than the U.S. National Benchmark"
110215,"Voluntary non-profit - Private",Yes,50.91,35,0.93,15,"Better than the U.S. National Benchmark"
110226,"Government - Hospital District or Authority",Yes,44,25,0.99,16,"Worse than the U.S. National Benchmark"
120001,"Voluntary non-profit - Private",Yes,71.67,28,0.88,14,"Better than the U.S. National Benchmark"
120002,"Government - State",Yes,55.83,20,0.87,14,"Better than the U.S. National Benchmark"
120011,"Voluntary non-profit - Private",Yes,80.83,50,0.84,15,"Better than the U.S. National Benchmark"
120026,Proprietary,Yes,58.18,60,0.93,16,"Better than the U.S. National Benchmark"
130003,"Voluntary non-profit - Private",Yes,46.36,39,0.99,14,"Better than the U.S. National Benchmark"
130007,"Voluntary non-profit - Church",Yes,67.5,28,0.93,14,"Better than the U.S. National Benchmark"
130018,Proprietary,Yes,83.33,19,0.97,14,"Better than the U.S. National Benchmark"
140002,"Voluntary non-profit - Private",Yes,76,76,0.9,16,"Better than the U.S. National Benchmark"
140007,"Voluntary non-profit - Church",Yes,71.67,25,1.06,19,"Better than the U.S. National Benchmark"
140008,"Voluntary non-profit - Private",Yes,73.33,21,1.02,17,"Better than the U.S. National Benchmark"
140013,"Voluntary non-profit - Private",Yes,41.67,40,0.96,16,"Better than the U.S. National Benchmark"
140015,"Voluntary non-profit - Private",Yes,56.67,55,0.99,16,"Better than the U.S. National Benchmark"
140018,"Voluntary non-profit - Private",Yes,65.45,25,1.01,17,"Better than the U.S. National Benchmark"
140040,Proprietary,Yes,39,24,1.02,18,"Worse than the U.S. National Benchmark"
140046,"Voluntary non-profit - Church",Yes,67.5,56,0.97,17,"Worse than the U.S. National Benchmark"
140053,"Voluntary non-profit - Church",Yes,69.17,27,0.96,16,"Better than the U.S. National Benchmark"
140058,"Voluntary non-profit - Private",Yes,33,47,0.93,17,"Better than the U.S. National Benchmark"
140067,"Voluntary non-profit - Church",Yes,70,39,0.97,18,"Worse than the U.S. National Benchmark"
140088,"Voluntary non-profit - Private",Yes,44.17,16,1.01,17,"Worse than the U.S. National Benchmark"
140093,"Voluntary non-profit - Church",Yes,64,51,0.97,18,"Better than the U.S. National Benchmark"
140095,"Voluntary non-profit - Church",Yes,66,29,1.03,17,"Better than the U.S. National Benchmark"
140116,"Voluntary non-profit - Other",Yes,52.5,42,1.03,16,"Better than the U.S. National Benchmark"
140118,Proprietary,Yes,76.67,58,1.03,19,"Worse than the U.S. National Benchmark"
140124,"Government - Local",Yes,40,19,0.86,18,"Better than the U.S. National Benchmark"
140130,"Voluntary non-profit - Other",Yes,49,25,0.96,15,"Better than the U.S. National Benchmark"
140133,"Voluntary non-profit - Private",Yes,50,18,1.11,18,"Better than the U.S. National Benchmark"
140135,"Voluntary non-profit - Other",Yes,40.83,51,0.95,16,"Worse than the U.S. National Benchmark"
140150,"Government - State",Yes,49.09,14,0.98,19,"Better than the U.S. National Benchmark"
140177,"Voluntary non-profit - Private",Yes,51.43,5,1.04,21,"Better than the U.S. National Benchmark"
140179,"Voluntary non-profit - Church",Yes,73.64,46,1.03,17,"Worse than the U.S. National Benchmark"
140180,"Voluntary non-profit - Church",Yes,85.83,33,0.99,19,"Better than the U.S. National Benchmark"
140181,"Voluntary non-profit - Private",Yes,40,16,1.1,18,"Worse than the U.S. National Benchmark"
140182,"Voluntary non-profit - Church",Yes,74.17,42,1.04,17,"Better than the U.S. National Benchmark"
140184,Proprietary,Yes,74.55,26,1,17,"Worse than the U.S. National Benchmark"
140186,"Voluntary non-profit - Private",Yes,71.67,41,1,15,"Better than the U.S. National Benchmark"
140213,"Voluntary non-profit - Private",Yes,64.55,47,1.04,18,"Better than the U.S. National Benchmark"
140223,"Voluntary non-profit - Church",Yes,75.83,58,1.06,16,"Better than the U.S. National Benchmark"
140233,"Voluntary non-profit - Church",Yes,71.67,39,1.02,16,"Worse than the U.S. National Benchmark"
140242,"Voluntary non-profit - Private",Yes,55.83,66,1.02,15,"Better than the U.S. National Benchmark"
140251,"Voluntary non-profit - Private",Yes,80.91,40,1.09,16,"Better than the U.S. National Benchmark"
140258,"Voluntary non-profit - Church",Yes,65.83,39,1.09,15,"Better than the U.S. National Benchmark"
140280,"Voluntary non-profit - Other",Yes,60,30,0.99,16,"Better than the U.S. National Benchmark"
140290,"Voluntary non-profit - Church",Yes,62.73,39,1.12,16,"Better than the U.S. National Benchmark"
140292,"Voluntary non-profit - Other",Yes,52,39,1.08,16,"Better than the U.S. National Benchmark"
150006,"Voluntary non-profit - Private",Yes,50.83,54,1,17,"Better than the U.S. National Benchmark"
150007,"Voluntary non-profit - Private",Yes,37.5,49,1.08,15,"Better than the U.S. National Benchmark"
150015,"Voluntary non-profit - Church",Yes,88.33,58,1.01,16,"Better than the U.S. National Benchmark"
150018,"Government - Local",Yes,73.33,41,0.99,15,"Better than the U.S. National Benchmark"
190183,"Government - State",Yes,86,62,0.91,16,"Better than the U.S. National Benchmark"
190202,"Voluntary non-profit - Private",Yes,64.17,51,1.07,16,"Better than the U.S. National Benchmark"
190250,Proprietary,Yes,60.91,89,0.96,16,"Better than the U.S. National Benchmark"
200009,"Voluntary non-profit - Private",Yes,79.17,43,1,15,"Better than the U.S. National Benchmark"
200020,"Voluntary non-profit - Private",Yes,59.09,92,0.99,16,"Better than the U.S. National Benchmark"
200021,"Voluntary non-profit - Private",Yes,60,59,0.93,16,"Better than the U.S. National Benchmark"
200033,"Voluntary non-profit - Private",Yes,63.33,26,1.03,16,"Better than the U.S. National Benchmark"
200034,"Voluntary non-profit - Private",Yes,75,51,0.96,13,"Better than the U.S. National Benchmark"
200063,"Voluntary non-profit - Private",Yes,52,34,0.9,16,"Better than the U.S. National Benchmark"
220010,"Voluntary non-profit - Private",Yes,46.36,33,1.08,16,"Worse than the U.S. National Benchmark"
220011,"Government - Local",Yes,26,29,1.02,16,"Worse than the U.S. National Benchmark"
220024,"Voluntary non-profit - Private",Yes,49,35,1,16,"Better than the U.S. National Benchmark"
220031,"Voluntary non-profit - Private",Yes,58.33,20,1,18,"Worse than the U.S. National Benchmark"
220066,"Voluntary non-profit - Private",Yes,58,33,1.06,15,"Worse than the U.S. National Benchmark"
220070,"Voluntary non-profit - Private",Yes,51.82,51,1.11,17,"Worse than the U.S. National Benchmark"
220073,Proprietary,Yes,31,16,1.03,18,"Worse than the U.S. National Benchmark"
160016,"Voluntary non-profit - Private",Yes,46.67,68,0.93,15,"Better than the U.S. National Benchmark"
160028,"Voluntary non-profit - Private",Yes,83.64,44,0.96,16,"Better than the U.S. National Benchmark"
