hospital_name,state,measure_name,number_of_discharges,number_of_readmissions,excess_readmission_ratio,region_name
"CITIZENS BAPTIST MEDICAL CENTER",AL,READM-30-PN-HRRP,111,15,0.9413,"South Region"
"BAPTIST MEDICAL CENTER-PRINCETON",AL,READM-30-AMI-HRRP,355,72,1.0625,"South Region"
"BAPTIST MEDICAL CENTER-PRINCETON",AL,READM-30-HF-HRRP,479,101,0.955,"South Region"
"BAPTIST MEDICAL CENTER-PRINCETON",AL,READM-30-PN-HRRP,345,70,1.029,"South Region"
"TRINITY MEDICAL CENTER",AL,READM-30-AMI-HRRP,349,63,1.0195,"South Region"
"TRINITY MEDICAL CENTER",AL,READM-30-HF-HRRP,385,67,0.859,"South Region"
"TRINITY MEDICAL CENTER",AL,READM-30-PN-HRRP,300,39,0.8843,"South Region"
"PRATTVILLE BAPTIST HOSPITAL",AL,READM-30-HF-HRRP,140,37,1.095,"South Region"
"PRATTVILLE BAPTIST HOSPITAL",AL,READM-30-PN-HRRP,183,36,1.096,"South Region"
"PICKENS COUNTY MEDICAL CENTER",AL,READM-30-HF-HRRP,58,15,1.0355,"South Region"
"PICKENS COUNTY MEDICAL CENTER",AL,READM-30-PN-HRRP,156,22,0.9528,"South Region"
"BULLOCK COUNTY HOSPITAL",AL,READM-30-HF-HRRP,47,14,1.0668,"South Region"
"BRYAN W WHITFIELD MEM HOSP INC",AL,READM-30-HF-HRRP,144,37,1.0913,"South Region"
"BRYAN W WHITFIELD MEM HOSP INC",AL,READM-30-PN-HRRP,146,21,0.9943,"South Region"
"MOBILE INFIRMARY",AL,READM-30-AMI-HRRP,253,45,1.0636,"South Region"
"MOBILE INFIRMARY",AL,READM-30-HF-HRRP,958,224,1.0597,"South Region"
"MOBILE INFIRMARY",AL,READM-30-PN-HRRP,629,113,1.0454,"South Region"
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",AL,READM-30-AMI-HRRP,88,21,1.0331,"South Region"
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",AL,READM-30-HF-HRRP,229,45,0.9505,"South Region"
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",AL,READM-30-PN-HRRP,219,39,1.0195,"South Region"
"VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS",AL,READM-30-AMI-HRRP,123,33,1.14,"South Region"
"VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS",AL,READM-30-HF-HRRP,386,101,1.0956,"South Region"
"VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS",AL,READM-30-PN-HRRP,233,46,1.0511,"South Region"
"MONROE COUNTY HOSPITAL",AL,READM-30-HF-HRRP,122,27,1.0338,"South Region"
"MONROE COUNTY HOSPITAL",AL,READM-30-PN-HRRP,178,25,0.9743,"South Region"
"LAKELAND COMMUNITY HOSPITAL",AL,READM-30-HF-HRRP,126,21,0.9251,"South Region"
"LAKELAND COMMUNITY HOSPITAL",AL,READM-30-PN-HRRP,345,55,1.0078,"South Region"
"TROY REGIONAL MEDICAL CENTER",AL,READM-30-HF-HRRP,126,33,1.0608,"South Region"
"TROY REGIONAL MEDICAL CENTER",AL,READM-30-PN-HRRP,124,33,1.182,"South Region"
"NORTH BALDWIN INFIRMARY",AL,READM-30-HF-HRRP,47,11,1.0074,"South Region"
"NORTH BALDWIN INFIRMARY",AL,READM-30-PN-HRRP,93,16,0.9959,"South Region"
"ST VINCENT'S ST CLAIR",AL,READM-30-HF-HRRP,95,17,0.9457,"South Region"
"ST VINCENT'S ST CLAIR",AL,READM-30-PN-HRRP,171,33,1.0767,"South Region"
"CRESTWOOD MEDICAL CENTER",AL,READM-30-AMI-HRRP,170,31,1.0252,"South Region"
"CRESTWOOD MEDICAL CENTER",AL,READM-30-HF-HRRP,333,58,0.8978,"South Region"
"CRESTWOOD MEDICAL CENTER",AL,READM-30-PN-HRRP,340,49,0.9776,"South Region"
"BROOKWOOD MEDICAL CENTER",AL,READM-30-AMI-HRRP,275,45,1.0023,"South Region"
"BROOKWOOD MEDICAL CENTER",AL,READM-30-HF-HRRP,476,106,1.0148,"South Region"
"BROOKWOOD MEDICAL CENTER",AL,READM-30-PN-HRRP,516,79,0.943,"South Region"
"SPRINGHILL MEDICAL CENTER",AL,READM-30-AMI-HRRP,131,26,1.0905,"South Region"
"SPRINGHILL MEDICAL CENTER",AL,READM-30-HF-HRRP,440,84,0.9211,"South Region"
"SPRINGHILL MEDICAL CENTER",AL,READM-30-PN-HRRP,199,31,0.9923,"South Region"
"JACKSONVILLE MEDICAL CENTER",AL,READM-30-PN-HRRP,122,18,0.9944,"South Region"
"EVERGREEN MEDICAL CENTER",AL,READM-30-HF-HRRP,166,49,1.2033,"South Region"
"EVERGREEN MEDICAL CENTER",AL,READM-30-PN-HRRP,73,13,1.0137,"South Region"
"BAPTIST MEDICAL CENTER EAST",AL,READM-30-HF-HRRP,344,76,1.0286,"South Region"
"BAPTIST MEDICAL CENTER EAST",AL,READM-30-PN-HRRP,235,29,0.8818,"South Region"
"L V STABLER MEMORIAL HOSPITAL",AL,READM-30-HF-HRRP,113,18,0.9277,"South Region"
"SHOALS HOSPITAL",AL,READM-30-HF-HRRP,79,18,1.0128,"South Region"
"SHOALS HOSPITAL",AL,READM-30-PN-HRRP,163,25,0.9639,"South Region"
"RUSSELLVILLE HOSPITAL",AL,READM-30-HF-HRRP,132,38,1.1084,"South Region"
"RUSSELLVILLE HOSPITAL",AL,READM-30-PN-HRRP,226,41,1.041,"South Region"
"COOSA VALLEY MEDICAL CENTER",AL,READM-30-HF-HRRP,202,41,0.9693,"South Region"
"COOSA VALLEY MEDICAL CENTER",AL,READM-30-PN-HRRP,268,45,1.0366,"South Region"
"ATMORE COMMUNITY HOSPITAL",AL,READM-30-HF-HRRP,191,54,1.1036,"South Region"
"ATMORE COMMUNITY HOSPITAL",AL,READM-30-PN-HRRP,102,21,1.04,"South Region"
"PROVIDENCE ALASKA MEDICAL CENTER",AK,READM-30-AMI-HRRP,328,39,0.9047,"West Region"
"PROVIDENCE ALASKA MEDICAL CENTER",AK,READM-30-HF-HRRP,443,73,0.8636,"West Region"
"PROVIDENCE ALASKA MEDICAL CENTER",AK,READM-30-PN-HRRP,279,31,0.8664,"West Region"
"MAT-SU REGIONAL MEDICAL CENTER",AK,READM-30-HF-HRRP,147,30,0.9863,"West Region"
"MAT-SU REGIONAL MEDICAL CENTER",AK,READM-30-PN-HRRP,212,33,0.9964,"West Region"
"BARTLETT REGIONAL HOSPITAL",AK,READM-30-PN-HRRP,84,11,0.9944,"West Region"
"FAIRBANKS MEMORIAL HOSPITAL",AK,READM-30-HF-HRRP,104,17,0.9412,"West Region"
"FAIRBANKS MEMORIAL HOSPITAL",AK,READM-30-PN-HRRP,113,14,0.9412,"West Region"
"ALASKA REGIONAL HOSPITAL",AK,READM-30-HF-HRRP,80,17,1.0112,"West Region"
"YUKON KUSKOKWIM DELTA REG HOSPITAL",AK,READM-30-HF-HRRP,38,11,1.0538,"West Region"
"YUKON KUSKOKWIM DELTA REG HOSPITAL",AK,READM-30-PN-HRRP,156,14,0.8906,"West Region"
"CENTRAL PENINSULA GENERAL HOSPITAL",AK,READM-30-HF-HRRP,76,18,1.0378,"West Region"
"ALASKA NATIVE MEDICAL CENTER",AK,READM-30-HF-HRRP,93,23,1.0567,"West Region"
"ALASKA NATIVE MEDICAL CENTER",AK,READM-30-PN-HRRP,172,35,1.0914,"West Region"
"BANNER GOOD SAMARITAN MEDICAL CENTER",AZ,READM-30-AMI-HRRP,230,41,1.0143,"West Region"
"BANNER GOOD SAMARITAN MEDICAL CENTER",AZ,READM-30-HF-HRRP,413,64,0.8047,"West Region"
"BANNER GOOD SAMARITAN MEDICAL CENTER",AZ,READM-30-PN-HRRP,193,34,1.0006,"West Region"
"TUCSON MEDICAL CENTER",AZ,READM-30-AMI-HRRP,416,73,1.0046,"West Region"
"TUCSON MEDICAL CENTER",AZ,READM-30-HF-HRRP,512,107,0.9624,"West Region"
"TUCSON MEDICAL CENTER",AZ,READM-30-PN-HRRP,473,85,1.0311,"West Region"
"VERDE VALLEY MEDICAL CENTER",AZ,READM-30-AMI-HRRP,120,13,0.9286,"West Region"
"VERDE VALLEY MEDICAL CENTER",AZ,READM-30-HF-HRRP,166,27,0.9278,"West Region"
"VERDE VALLEY MEDICAL CENTER",AZ,READM-30-PN-HRRP,213,31,0.9611,"West Region"
"CARONDELET ST  MARYS HOSPITAL",AZ,READM-30-AMI-HRRP,168,24,0.98,"West Region"
"CARONDELET ST  MARYS HOSPITAL",AZ,READM-30-HF-HRRP,221,23,0.7816,"West Region"
"CARONDELET ST  MARYS HOSPITAL",AZ,READM-30-PN-HRRP,220,33,0.9718,"West Region"
"CARONDELET ST JOSEPH'S HOSPITAL",AZ,READM-30-AMI-HRRP,180,23,0.9359,"West Region"
"CARONDELET ST JOSEPH'S HOSPITAL",AZ,READM-30-HF-HRRP,367,62,0.8737,"West Region"
"CARONDELET ST JOSEPH'S HOSPITAL",AZ,READM-30-PN-HRRP,416,74,1.0391,"West Region"
"YAVAPAI REGIONAL MEDICAL CENTER",AZ,READM-30-AMI-HRRP,319,36,0.867,"West Region"
"YAVAPAI REGIONAL MEDICAL CENTER",AZ,READM-30-HF-HRRP,259,54,0.9838,"West Region"
"YAVAPAI REGIONAL MEDICAL CENTER",AZ,READM-30-PN-HRRP,432,72,0.9979,"West Region"
"YUMA REGIONAL MEDICAL CENTER",AZ,READM-30-AMI-HRRP,543,75,0.87,"West Region"
"YUMA REGIONAL MEDICAL CENTER",AZ,READM-30-HF-HRRP,587,118,0.9199,"West Region"
"YUMA REGIONAL MEDICAL CENTER",AZ,READM-30-PN-HRRP,972,194,1.0988,"West Region"
"JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL",AZ,READM-30-HF-HRRP,289,62,0.9703,"West Region"
"JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL",AZ,READM-30-PN-HRRP,175,26,0.9833,"West Region"
"CASA GRANDE REGIONAL MEDICAL CENTER",AZ,READM-30-HF-HRRP,164,40,1.0524,"West Region"
"CASA GRANDE REGIONAL MEDICAL CENTER",AZ,READM-30-PN-HRRP,298,61,1.103,"West Region"
"FLAGSTAFF MEDICAL CENTER",AZ,READM-30-AMI-HRRP,179,23,0.9394,"West Region"
"FLAGSTAFF MEDICAL CENTER",AZ,READM-30-HF-HRRP,213,42,0.954,"West Region"
"FLAGSTAFF MEDICAL CENTER",AZ,READM-30-PN-HRRP,263,29,0.8538,"West Region"
"ST JOSEPH'S HOSPITAL AND MEDICAL CENTER",AZ,READM-30-AMI-HRRP,159,23,0.9627,"West Region"
"ST JOSEPH'S HOSPITAL AND MEDICAL CENTER",AZ,READM-30-HF-HRRP,223,44,0.951,"West Region"
"ST JOSEPH'S HOSPITAL AND MEDICAL CENTER",AZ,READM-30-PN-HRRP,166,27,0.9793,"West Region"
"PHOENIX BAPTIST HOSPITAL",AZ,READM-30-AMI-HRRP,148,24,0.9977,"West Region"
"PHOENIX BAPTIST HOSPITAL",AZ,READM-30-HF-HRRP,190,50,1.0422,"West Region"
"PHOENIX BAPTIST HOSPITAL",AZ,READM-30-PN-HRRP,94,18,1.0304,"West Region"
"PAYSON REGIONAL MEDICAL CENTER",AZ,READM-30-HF-HRRP,97,18,0.948,"West Region"
"PAYSON REGIONAL MEDICAL CENTER",AZ,READM-30-PN-HRRP,84,11,0.9509,"West Region"
"CHANDLER REGIONAL MEDICAL CENTER",AZ,READM-30-AMI-HRRP,255,45,1.0345,"West Region"
"CHANDLER REGIONAL MEDICAL CENTER",AZ,READM-30-HF-HRRP,364,73,0.9228,"West Region"
"CHANDLER REGIONAL MEDICAL CENTER",AZ,READM-30-PN-HRRP,394,79,1.0963,"West Region"
"ST LUKE'S MEDICAL CENTER",AZ,READM-30-HF-HRRP,72,14,0.9706,"West Region"
"SCOTTSDALE HEALTHCARE OSBORN MEDICAL CENTER",AZ,READM-30-AMI-HRRP,180,19,0.861,"West Region"
"SCOTTSDALE HEALTHCARE OSBORN MEDICAL CENTER",AZ,READM-30-HF-HRRP,461,101,1.0033,"West Region"
"SCOTTSDALE HEALTHCARE OSBORN MEDICAL CENTER",AZ,READM-30-PN-HRRP,385,62,0.9817,"West Region"
"SIERRA VISTA REGIONAL HEALTH CENTER",AZ,READM-30-HF-HRRP,231,63,1.0872,"West Region"
"SIERRA VISTA REGIONAL HEALTH CENTER",AZ,READM-30-PN-HRRP,251,48,1.0365,"West Region"
"SIERRA VISTA REGIONAL HEALTH CENTER",AZ,READM-30-AMI-HRRP,97,15,0.9535,"West Region"
"KINGMAN REGIONAL MEDICAL CENTER",AZ,READM-30-AMI-HRRP,163,17,0.8629,"West Region"
"KINGMAN REGIONAL MEDICAL CENTER",AZ,READM-30-HF-HRRP,362,78,0.9597,"West Region"
"KINGMAN REGIONAL MEDICAL CENTER",AZ,READM-30-PN-HRRP,460,85,1.0187,"West Region"
"BANNER BOSWELL MEDICAL CENTER",AZ,READM-30-AMI-HRRP,513,95,1.0448,"West Region"
"BANNER BOSWELL MEDICAL CENTER",AZ,READM-30-HF-HRRP,825,150,0.858,"West Region"
"BANNER BOSWELL MEDICAL CENTER",AZ,READM-30-PN-HRRP,620,88,0.8974,"West Region"
"SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER",AZ,READM-30-HF-HRRP,84,11,0.915,"West Region"
"SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER",AZ,READM-30-PN-HRRP,157,19,0.9319,"West Region"
"UNIVERSITY OF ARIZONA MEDICAL CTR-UNIVERSITY, THE",AZ,READM-30-AMI-HRRP,245,53,1.1124,"West Region"
"UNIVERSITY OF ARIZONA MEDICAL CTR-UNIVERSITY, THE",AZ,READM-30-HF-HRRP,323,81,1.0565,"West Region"
"UNIVERSITY OF ARIZONA MEDICAL CTR-UNIVERSITY, THE",AZ,READM-30-PN-HRRP,326,54,0.9803,"West Region"
"BANNER DESERT MEDICAL CENTER",AZ,READM-30-AMI-HRRP,188,33,1.0519,"West Region"
"BANNER DESERT MEDICAL CENTER",AZ,READM-30-HF-HRRP,400,97,1.0863,"West Region"
"BANNER DESERT MEDICAL CENTER",AZ,READM-30-PN-HRRP,346,69,1.0966,"West Region"
"MT GRAHAM REGIONAL MEDICAL CENTER",AZ,READM-30-PN-HRRP,169,25,1,"West Region"
"HAVASU REGIONAL MEDICAL CENTER",AZ,READM-30-AMI-HRRP,226,36,0.9837,"West Region"
"HAVASU REGIONAL MEDICAL CENTER",AZ,READM-30-HF-HRRP,324,62,0.9553,"West Region"
"HAVASU REGIONAL MEDICAL CENTER",AZ,READM-30-PN-HRRP,251,37,0.9739,"West Region"
"FORT DEFIANCE INDIAN HOSPITAL",AZ,READM-30-PN-HRRP,191,22,0.9784,"West Region"
"TUBA CITY REGIONAL HEALTH CARE CORPORATION",AZ,READM-30-HF-HRRP,63,16,1.0509,"West Region"
