provider_id,measure_name,score,hcahps_question,hcahps_answer_percent,hcahps_measure_id
10033,ED2,214,"Patients who reported NO, they would probably not or definitely not recommend the hospital",2,H_RECMND_DN
10033,ED2,214,"Patients who reported YES, they would definitely recommend the hospital",85,H_RECMND_DY
10033,ED2,214,"Patients who reported YES, they would probably recommend the hospital",13,H_RECMND_PY
10034,ED2,67,"Patients who reported NO, they would probably not or definitely not recommend the hospital",3,H_RECMND_DN
10034,ED2,67,"Patients who reported YES, they would definitely recommend the hospital",72,H_RECMND_DY
10034,ED2,67,"Patients who reported YES, they would probably recommend the hospital",25,H_RECMND_PY
10035,ED2,92,"Patients who reported NO, they would probably not or definitely not recommend the hospital",5,H_RECMND_DN
10035,ED2,92,"Patients who reported YES, they would definitely recommend the hospital",72,H_RECMND_DY
10035,ED2,92,"Patients who reported YES, they would probably recommend the hospital",23,H_RECMND_PY
10036,ED2,45,"Patients who reported NO, they would probably not or definitely not recommend the hospital",6,H_RECMND_DN
10036,ED2,45,"Patients who reported YES, they would definitely recommend the hospital",64,H_RECMND_DY
10036,ED2,45,"Patients who reported YES, they would probably recommend the hospital",30,H_RECMND_PY
10038,ED2,74,"Patients who reported NO, they would probably not or definitely not recommend the hospital",9,H_RECMND_DN
10038,ED2,74,"Patients who reported YES, they would definitely recommend the hospital",67,H_RECMND_DY
10038,ED2,74,"Patients who reported YES, they would probably recommend the hospital",24,H_RECMND_PY
10039,ED2,99,"Patients who reported NO, they would probably not or definitely not recommend the hospital",3,H_RECMND_DN
10039,ED2,99,"Patients who reported YES, they would definitely recommend the hospital",78,H_RECMND_DY
10039,ED2,99,"Patients who reported YES, they would probably recommend the hospital",19,H_RECMND_PY
10040,ED2,119,"Patients who reported NO, they would probably not or definitely not recommend the hospital",3,H_RECMND_DN
10040,ED2,119,"Patients who reported YES, they would definitely recommend the hospital",76,H_RECMND_DY
10040,ED2,119,"Patients who reported YES, they would probably recommend the hospital",21,H_RECMND_PY
10044,ED2,30,"Patients who reported NO, they would probably not or definitely not recommend the hospital",2,H_RECMND_DN
10044,ED2,30,"Patients who reported YES, they would definitely recommend the hospital",76,H_RECMND_DY
10044,ED2,30,"Patients who reported YES, they would probably recommend the hospital",22,H_RECMND_PY
10045,ED2,66,"Patients who reported NO, they would probably not or definitely not recommend the hospital",1,H_RECMND_DN
10045,ED2,66,"Patients who reported YES, they would definitely recommend the hospital",83,H_RECMND_DY
10045,ED2,66,"Patients who reported YES, they would probably recommend the hospital",16,H_RECMND_PY
10046,ED2,125,"Patients who reported NO, they would probably not or definitely not recommend the hospital",10,H_RECMND_DN
10046,ED2,125,"Patients who reported YES, they would definitely recommend the hospital",59,H_RECMND_DY
10046,ED2,125,"Patients who reported YES, they would probably recommend the hospital",31,H_RECMND_PY
10047,ED2,40,"Patients who reported NO, they would probably not or definitely not recommend the hospital",5,H_RECMND_DN
10047,ED2,40,"Patients who reported YES, they would definitely recommend the hospital",70,H_RECMND_DY
10047,ED2,40,"Patients who reported YES, they would probably recommend the hospital",25,H_RECMND_PY
10049,ED2,63,"Patients who reported NO, they would probably not or definitely not recommend the hospital",5,H_RECMND_DN
10049,ED2,63,"Patients who reported YES, they would definitely recommend the hospital",70,H_RECMND_DY
10049,ED2,63,"Patients who reported YES, they would probably recommend the hospital",25,H_RECMND_PY
10051,ED2,5,"Patients who reported NO, they would probably not or definitely not recommend the hospital",5,H_RECMND_DN
10051,ED2,5,"Patients who reported YES, they would definitely recommend the hospital",71,H_RECMND_DY
10051,ED2,5,"Patients who reported YES, they would probably recommend the hospital",24,H_RECMND_PY
10052,ED2,39,"Patients who reported NO, they would probably not or definitely not recommend the hospital",8,H_RECMND_DN
10052,ED2,39,"Patients who reported YES, they would definitely recommend the hospital",63,H_RECMND_DY
10052,ED2,39,"Patients who reported YES, they would probably recommend the hospital",29,H_RECMND_PY
10054,ED2,73,"Patients who reported NO, they would probably not or definitely not recommend the hospital",11,H_RECMND_DN
10054,ED2,73,"Patients who reported YES, they would definitely recommend the hospital",57,H_RECMND_DY
10054,ED2,73,"Patients who reported YES, they would probably recommend the hospital",32,H_RECMND_PY
10055,ED2,109,"Patients who reported NO, they would probably not or definitely not recommend the hospital",4,H_RECMND_DN
10055,ED2,109,"Patients who reported YES, they would definitely recommend the hospital",80,H_RECMND_DY
10055,ED2,109,"Patients who reported YES, they would probably recommend the hospital",16,H_RECMND_PY
10056,ED2,115,"Patients who reported NO, they would probably not or definitely not recommend the hospital",3,H_RECMND_DN
10056,ED2,115,"Patients who reported YES, they would definitely recommend the hospital",82,H_RECMND_DY
10056,ED2,115,"Patients who reported YES, they would probably recommend the hospital",15,H_RECMND_PY
10058,ED2,54,"Patients who reported NO, they would probably not or definitely not recommend the hospital",3,H_RECMND_DN
10058,ED2,54,"Patients who reported YES, they would definitely recommend the hospital",70,H_RECMND_DY
10058,ED2,54,"Patients who reported YES, they would probably recommend the hospital",27,H_RECMND_PY
10059,ED2,52,"Patients who reported NO, they would probably not or definitely not recommend the hospital",5,H_RECMND_DN
10059,ED2,52,"Patients who reported YES, they would definitely recommend the hospital",62,H_RECMND_DY
10059,ED2,52,"Patients who reported YES, they would probably recommend the hospital",33,H_RECMND_PY
10061,ED2,72,"Patients who reported NO, they would probably not or definitely not recommend the hospital",5,H_RECMND_DN
10061,ED2,72,"Patients who reported YES, they would definitely recommend the hospital",64,H_RECMND_DY
10061,ED2,72,"Patients who reported YES, they would probably recommend the hospital",31,H_RECMND_PY
10062,ED2,50,"Patients who reported NO, they would probably not or definitely not recommend the hospital",9,H_RECMND_DN
10062,ED2,50,"Patients who reported YES, they would definitely recommend the hospital",59,H_RECMND_DY
10062,ED2,50,"Patients who reported YES, they would probably recommend the hospital",32,H_RECMND_PY
10065,ED2,98,"Patients who reported NO, they would probably not or definitely not recommend the hospital",3,H_RECMND_DN
10065,ED2,98,"Patients who reported YES, they would definitely recommend the hospital",78,H_RECMND_DY
10065,ED2,98,"Patients who reported YES, they would probably recommend the hospital",19,H_RECMND_PY
10069,ED2,39,"Patients who reported NO, they would probably not or definitely not recommend the hospital",5,H_RECMND_DN
10069,ED2,39,"Patients who reported YES, they would definitely recommend the hospital",67,H_RECMND_DY
10069,ED2,39,"Patients who reported YES, they would probably recommend the hospital",28,H_RECMND_PY
10073,ED2,50,"Patients who reported NO, they would probably not or definitely not recommend the hospital",4,H_RECMND_DN
10073,ED2,50,"Patients who reported YES, they would definitely recommend the hospital",66,H_RECMND_DY
10073,ED2,50,"Patients who reported YES, they would probably recommend the hospital",30,H_RECMND_PY
10078,ED2,57,"Patients who reported NO, they would probably not or definitely not recommend the hospital",6,H_RECMND_DN
10078,ED2,57,"Patients who reported YES, they would definitely recommend the hospital",73,H_RECMND_DY
10078,ED2,57,"Patients who reported YES, they would probably recommend the hospital",21,H_RECMND_PY
10079,ED2,70,"Patients who reported NO, they would probably not or definitely not recommend the hospital",5,H_RECMND_DN
10079,ED2,70,"Patients who reported YES, they would definitely recommend the hospital",71,H_RECMND_DY
10079,ED2,70,"Patients who reported YES, they would probably recommend the hospital",24,H_RECMND_PY
10083,ED2,98,"Patients who reported NO, they would probably not or definitely not recommend the hospital",4,H_RECMND_DN
10083,ED2,98,"Patients who reported YES, they would definitely recommend the hospital",74,H_RECMND_DY
10083,ED2,98,"Patients who reported YES, they would probably recommend the hospital",22,H_RECMND_PY
10085,ED2,75,"Patients who reported NO, they would probably not or definitely not recommend the hospital",4,H_RECMND_DN
10085,ED2,75,"Patients who reported YES, they would definitely recommend the hospital",73,H_RECMND_DY
10085,ED2,75,"Patients who reported YES, they would probably recommend the hospital",23,H_RECMND_PY
10086,ED2,57,"Patients who reported NO, they would probably not or definitely not recommend the hospital",5,H_RECMND_DN
10086,ED2,57,"Patients who reported YES, they would definitely recommend the hospital",65,H_RECMND_DY
10086,ED2,57,"Patients who reported YES, they would probably recommend the hospital",30,H_RECMND_PY
10087,ED2,235,"Patients who reported NO, they would probably not or definitely not recommend the hospital",6,H_RECMND_DN
10087,ED2,235,"Patients who reported YES, they would definitely recommend the hospital",74,H_RECMND_DY
10087,ED2,235,"Patients who reported YES, they would probably recommend the hospital",20,H_RECMND_PY
10089,ED2,74,"Patients who reported NO, they would probably not or definitely not recommend the hospital",6,H_RECMND_DN
10089,ED2,74,"Patients who reported YES, they would definitely recommend the hospital",67,H_RECMND_DY
10089,ED2,74,"Patients who reported YES, they would probably recommend the hospital",27,H_RECMND_PY
10090,ED2,88,"Patients who reported NO, they would probably not or definitely not recommend the hospital",6,H_RECMND_DN
10090,ED2,88,"Patients who reported YES, they would definitely recommend the hospital",73,H_RECMND_DY
10090,ED2,88,"Patients who reported YES, they would probably recommend the hospital",21,H_RECMND_PY
10091,ED2,40,"Patients who reported NO, they would probably not or definitely not recommend the hospital",10,H_RECMND_DN
10091,ED2,40,"Patients who reported YES, they would definitely recommend the hospital",56,H_RECMND_DY
10091,ED2,40,"Patients who reported YES, they would probably recommend the hospital",34,H_RECMND_PY
10092,ED2,86,"Patients who reported NO, they would probably not or definitely not recommend the hospital",4,H_RECMND_DN
10092,ED2,86,"Patients who reported YES, they would definitely recommend the hospital",72,H_RECMND_DY
10092,ED2,86,"Patients who reported YES, they would probably recommend the hospital",24,H_RECMND_PY
10095,ED2,35,"Patients who reported NO, they would probably not or definitely not recommend the hospital",11,H_RECMND_DN
10095,ED2,35,"Patients who reported YES, they would definitely recommend the hospital",68,H_RECMND_DY
10095,ED2,35,"Patients who reported YES, they would probably recommend the hospital",21,H_RECMND_PY
10097,ED2,68,"Patients who reported NO, they would probably not or definitely not recommend the hospital",7,H_RECMND_DN
10097,ED2,68,"Patients who reported YES, they would definitely recommend the hospital",63,H_RECMND_DY
10097,ED2,68,"Patients who reported YES, they would probably recommend the hospital",30,H_RECMND_PY
10099,ED2,60,"Patients who reported NO, they would probably not or definitely not recommend the hospital",5,H_RECMND_DN
10099,ED2,60,"Patients who reported YES, they would definitely recommend the hospital",67,H_RECMND_DY
10099,ED2,60,"Patients who reported YES, they would probably recommend the hospital",28,H_RECMND_PY
10100,ED2,101,"Patients who reported NO, they would probably not or definitely not recommend the hospital",3,H_RECMND_DN
10100,ED2,101,"Patients who reported YES, they would definitely recommend the hospital",79,H_RECMND_DY
10100,ED2,101,"Patients who reported YES, they would probably recommend the hospital",18,H_RECMND_PY
10101,ED2,47,"Patients who reported NO, they would probably not or definitely not recommend the hospital",9,H_RECMND_DN
10101,ED2,47,"Patients who reported YES, they would definitely recommend the hospital",59,H_RECMND_DY
10101,ED2,47,"Patients who reported YES, they would probably recommend the hospital",32,H_RECMND_PY
10103,ED2,117,"Patients who reported NO, they would probably not or definitely not recommend the hospital",5,H_RECMND_DN
10103,ED2,117,"Patients who reported YES, they would definitely recommend the hospital",74,H_RECMND_DY
10103,ED2,117,"Patients who reported YES, they would probably recommend the hospital",21,H_RECMND_PY
10104,ED2,55,"Patients who reported NO, they would probably not or definitely not recommend the hospital",3,H_RECMND_DN
10104,ED2,55,"Patients who reported YES, they would definitely recommend the hospital",79,H_RECMND_DY
10104,ED2,55,"Patients who reported YES, they would probably recommend the hospital",18,H_RECMND_PY
10108,ED2,248,"Patients who reported NO, they would probably not or definitely not recommend the hospital",4,H_RECMND_DN
10108,ED2,248,"Patients who reported YES, they would definitely recommend the hospital",76,H_RECMND_DY
10108,ED2,248,"Patients who reported YES, they would probably recommend the hospital",20,H_RECMND_PY
10109,ED2,80,"Patients who reported NO, they would probably not or definitely not recommend the hospital",4,H_RECMND_DN
10109,ED2,80,"Patients who reported YES, they would definitely recommend the hospital",69,H_RECMND_DY
10109,ED2,80,"Patients who reported YES, they would probably recommend the hospital",27,H_RECMND_PY
10110,ED2,82,"Patients who reported NO, they would probably not or definitely not recommend the hospital",6,H_RECMND_DN
10110,ED2,82,"Patients who reported YES, they would definitely recommend the hospital",75,H_RECMND_DY
10110,ED2,82,"Patients who reported YES, they would probably recommend the hospital",19,H_RECMND_PY
10112,ED2,38,"Patients who reported NO, they would probably not or definitely not recommend the hospital",7,H_RECMND_DN
10112,ED2,38,"Patients who reported YES, they would definitely recommend the hospital",58,H_RECMND_DY
10112,ED2,38,"Patients who reported YES, they would probably recommend the hospital",35,H_RECMND_PY
10113,ED2,141,"Patients who reported NO, they would probably not or definitely not recommend the hospital",5,H_RECMND_DN
10113,ED2,141,"Patients who reported YES, they would definitely recommend the hospital",74,H_RECMND_DY
10113,ED2,141,"Patients who reported YES, they would probably recommend the hospital",21,H_RECMND_PY
10114,ED2,62,"Patients who reported NO, they would probably not or definitely not recommend the hospital",8,H_RECMND_DN
10114,ED2,62,"Patients who reported YES, they would definitely recommend the hospital",62,H_RECMND_DY
10114,ED2,62,"Patients who reported YES, they would probably recommend the hospital",30,H_RECMND_PY
10118,ED2,72,"Patients who reported NO, they would probably not or definitely not recommend the hospital",12,H_RECMND_DN
10118,ED2,72,"Patients who reported YES, they would definitely recommend the hospital",56,H_RECMND_DY
10118,ED2,72,"Patients who reported YES, they would probably recommend the hospital",32,H_RECMND_PY
10120,ED2,45,"Patients who reported NO, they would probably not or definitely not recommend the hospital",4,H_RECMND_DN
10120,ED2,45,"Patients who reported YES, they would definitely recommend the hospital",72,H_RECMND_DY
10120,ED2,45,"Patients who reported YES, they would probably recommend the hospital",24,H_RECMND_PY
10125,ED2,68,"Patients who reported NO, they would probably not or definitely not recommend the hospital",8,H_RECMND_DN
10125,ED2,68,"Patients who reported YES, they would definitely recommend the hospital",57,H_RECMND_DY
10125,ED2,68,"Patients who reported YES, they would probably recommend the hospital",35,H_RECMND_PY
10126,ED2,77,"Patients who reported NO, they would probably not or definitely not recommend the hospital",4,H_RECMND_DN
10126,ED2,77,"Patients who reported YES, they would definitely recommend the hospital",63,H_RECMND_DY
10126,ED2,77,"Patients who reported YES, they would probably recommend the hospital",33,H_RECMND_PY
10128,ED2,52,"Patients who reported NO, they would probably not or definitely not recommend the hospital",4,H_RECMND_DN
10128,ED2,52,"Patients who reported YES, they would definitely recommend the hospital",75,H_RECMND_DY
10128,ED2,52,"Patients who reported YES, they would probably recommend the hospital",21,H_RECMND_PY
10129,ED2,80,"Patients who reported NO, they would probably not or definitely not recommend the hospital",3,H_RECMND_DN
10129,ED2,80,"Patients who reported YES, they would definitely recommend the hospital",70,H_RECMND_DY
10129,ED2,80,"Patients who reported YES, they would probably recommend the hospital",27,H_RECMND_PY
10130,ED2,55,"Patients who reported NO, they would probably not or definitely not recommend the hospital",2,H_RECMND_DN
10130,ED2,55,"Patients who reported YES, they would definitely recommend the hospital",80,H_RECMND_DY
10130,ED2,55,"Patients who reported YES, they would probably recommend the hospital",18,H_RECMND_PY
10131,ED2,77,"Patients who reported NO, they would probably not or definitely not recommend the hospital",4,H_RECMND_DN
10131,ED2,77,"Patients who reported YES, they would definitely recommend the hospital",78,H_RECMND_DY
10131,ED2,77,"Patients who reported YES, they would probably recommend the hospital",18,H_RECMND_PY
10138,ED2,60,"Patients who reported NO, they would probably not or definitely not recommend the hospital",2,H_RECMND_DN
10138,ED2,60,"Patients who reported YES, they would definitely recommend the hospital",72,H_RECMND_DY
10138,ED2,60,"Patients who reported YES, they would probably recommend the hospital",26,H_RECMND_PY
10139,ED2,99,"Patients who reported NO, they would probably not or definitely not recommend the hospital",6,H_RECMND_DN
10139,ED2,99,"Patients who reported YES, they would definitely recommend the hospital",75,H_RECMND_DY
10139,ED2,99,"Patients who reported YES, they would probably recommend the hospital",19,H_RECMND_PY
10144,ED2,92,"Patients who reported NO, they would probably not or definitely not recommend the hospital",7,H_RECMND_DN
10144,ED2,92,"Patients who reported YES, they would definitely recommend the hospital",71,H_RECMND_DY
10144,ED2,92,"Patients who reported YES, they would probably recommend the hospital",22,H_RECMND_PY
10146,ED2,93,"Patients who reported NO, they would probably not or definitely not recommend the hospital",7,H_RECMND_DN
10146,ED2,93,"Patients who reported YES, they would definitely recommend the hospital",65,H_RECMND_DY
10146,ED2,93,"Patients who reported YES, they would probably recommend the hospital",28,H_RECMND_PY
10148,ED2,60,"Patients who reported NO, they would probably not or definitely not recommend the hospital",4,H_RECMND_DN
10148,ED2,60,"Patients who reported YES, they would definitely recommend the hospital",70,H_RECMND_DY
10148,ED2,60,"Patients who reported YES, they would probably recommend the hospital",26,H_RECMND_PY
10149,ED2,122,"Patients who reported NO, they would probably not or definitely not recommend the hospital",3,H_RECMND_DN
10149,ED2,122,"Patients who reported YES, they would definitely recommend the hospital",82,H_RECMND_DY
10149,ED2,122,"Patients who reported YES, they would probably recommend the hospital",15,H_RECMND_PY
10150,ED2,56,"Patients who reported NO, they would probably not or definitely not recommend the hospital",2,H_RECMND_DN
10150,ED2,56,"Patients who reported YES, they would definitely recommend the hospital",68,H_RECMND_DY
10150,ED2,56,"Patients who reported YES, they would probably recommend the hospital",30,H_RECMND_PY
10157,ED2,52,"Patients who reported NO, they would probably not or definitely not recommend the hospital",6,H_RECMND_DN
10157,ED2,52,"Patients who reported YES, they would definitely recommend the hospital",72,H_RECMND_DY
10157,ED2,52,"Patients who reported YES, they would probably recommend the hospital",22,H_RECMND_PY
10158,ED2,66,"Patients who reported NO, they would probably not or definitely not recommend the hospital",4,H_RECMND_DN
10158,ED2,66,"Patients who reported YES, they would definitely recommend the hospital",64,H_RECMND_DY
10158,ED2,66,"Patients who reported YES, they would probably recommend the hospital",32,H_RECMND_PY
10164,ED2,76,"Patients who reported NO, they would probably not or definitely not recommend the hospital",7,H_RECMND_DN
10164,ED2,76,"Patients who reported YES, they would definitely recommend the hospital",67,H_RECMND_DY
10164,ED2,76,"Patients who reported YES, they would probably recommend the hospital",26,H_RECMND_PY
10168,ED2,74,"Patients who reported NO, they would probably not or definitely not recommend the hospital",4,H_RECMND_DN
10168,ED2,74,"Patients who reported YES, they would definitely recommend the hospital",85,H_RECMND_DY
10168,ED2,74,"Patients who reported YES, they would probably recommend the hospital",11,H_RECMND_PY
10169,ED2,60,"Patients who reported NO, they would probably not or definitely not recommend the hospital",7,H_RECMND_DN
10169,ED2,60,"Patients who reported YES, they would definitely recommend the hospital",64,H_RECMND_DY
10169,ED2,60,"Patients who reported YES, they would probably recommend the hospital",29,H_RECMND_PY
11300,ED2,23,"Patients who reported NO, they would probably not or definitely not recommend the hospital",2,H_RECMND_DN
11300,ED2,23,"Patients who reported YES, they would definitely recommend the hospital",82,H_RECMND_DY
11300,ED2,23,"Patients who reported YES, they would probably recommend the hospital",16,H_RECMND_PY
20001,ED2,280,"Patients who reported NO, they would probably not or definitely not recommend the hospital",3,H_RECMND_DN
20001,ED2,280,"Patients who reported YES, they would definitely recommend the hospital",79,H_RECMND_DY
20001,ED2,280,"Patients who reported YES, they would probably recommend the hospital",18,H_RECMND_PY
20006,ED2,106,"Patients who reported NO, they would probably not or definitely not recommend the hospital",6,H_RECMND_DN
20006,ED2,106,"Patients who reported YES, they would definitely recommend the hospital",71,H_RECMND_DY
20006,ED2,106,"Patients who reported YES, they would probably recommend the hospital",23,H_RECMND_PY
20008,ED2,124,"Patients who reported NO, they would probably not or definitely not recommend the hospital",2,H_RECMND_DN
20008,ED2,124,"Patients who reported YES, they would definitely recommend the hospital",69,H_RECMND_DY
20008,ED2,124,"Patients who reported YES, they would probably recommend the hospital",29,H_RECMND_PY
20012,ED2,122,"Patients who reported NO, they would probably not or definitely not recommend the hospital",3,H_RECMND_DN
20012,ED2,122,"Patients who reported YES, they would definitely recommend the hospital",74,H_RECMND_DY
20012,ED2,122,"Patients who reported YES, they would probably recommend the hospital",23,H_RECMND_PY
20017,ED2,99,"Patients who reported NO, they would probably not or definitely not recommend the hospital",6,H_RECMND_DN
20017,ED2,99,"Patients who reported YES, they would definitely recommend the hospital",66,H_RECMND_DY
20017,ED2,99,"Patients who reported YES, they would probably recommend the hospital",28,H_RECMND_PY
20018,ED2,97,"Patients who reported NO, they would probably not or definitely not recommend the hospital",9,H_RECMND_DN
20018,ED2,97,"Patients who reported YES, they would definitely recommend the hospital",49,H_RECMND_DY
20018,ED2,97,"Patients who reported YES, they would probably recommend the hospital",42,H_RECMND_PY
20024,ED2,92,"Patients who reported NO, they would probably not or definitely not recommend the hospital",2,H_RECMND_DN
20024,ED2,92,"Patients who reported YES, they would definitely recommend the hospital",76,H_RECMND_DY
20024,ED2,92,"Patients who reported YES, they would probably recommend the hospital",22,H_RECMND_PY
20026,ED2,106,"Patients who reported NO, they would probably not or definitely not recommend the hospital",6,H_RECMND_DN
20026,ED2,106,"Patients who reported YES, they would definitely recommend the hospital",69,H_RECMND_DY
20026,ED2,106,"Patients who reported YES, they would probably recommend the hospital",25,H_RECMND_PY
20027,ED2,25,"Patients who reported NO, they would probably not or definitely not recommend the hospital",10,H_RECMND_DN
20027,ED2,25,"Patients who reported YES, they would definitely recommend the hospital",54,H_RECMND_DY
20027,ED2,25,"Patients who reported YES, they would probably recommend the hospital",36,H_RECMND_PY
21311,ED2,155,"Patients who reported NO, they would probably not or definitely not recommend the hospital",2,H_RECMND_DN
21311,ED2,155,"Patients who reported YES, they would definitely recommend the hospital",71,H_RECMND_DY
21311,ED2,155,"Patients who reported YES, they would probably recommend the hospital",27,H_RECMND_PY
30001,ED2,99,"Patients who reported NO, they would probably not or definitely not recommend the hospital",11,H_RECMND_DN
30001,ED2,99,"Patients who reported YES, they would definitely recommend the hospital",58,H_RECMND_DY
30001,ED2,99,"Patients who reported YES, they would probably recommend the hospital",31,H_RECMND_PY
30002,ED2,79,"Patients who reported NO, they would probably not or definitely not recommend the hospital",4,H_RECMND_DN
30002,ED2,79,"Patients who reported YES, they would definitely recommend the hospital",77,H_RECMND_DY
30002,ED2,79,"Patients who reported YES, they would probably recommend the hospital",19,H_RECMND_PY
30006,ED2,98,"Patients who reported NO, they would probably not or definitely not recommend the hospital",5,H_RECMND_DN
30006,ED2,98,"Patients who reported YES, they would definitely recommend the hospital",73,H_RECMND_DY
30006,ED2,98,"Patients who reported YES, they would probably recommend the hospital",22,H_RECMND_PY
30007,ED2,136,"Patients who reported NO, they would probably not or definitely not recommend the hospital",4,H_RECMND_DN
30007,ED2,136,"Patients who reported YES, they would definitely recommend the hospital",75,H_RECMND_DY
30007,ED2,136,"Patients who reported YES, they would probably recommend the hospital",21,H_RECMND_PY
30010,ED2,186,"Patients who reported NO, they would probably not or definitely not recommend the hospital",6,H_RECMND_DN
30010,ED2,186,"Patients who reported YES, they would definitely recommend the hospital",65,H_RECMND_DY
30010,ED2,186,"Patients who reported YES, they would probably recommend the hospital",29,H_RECMND_PY
30011,ED2,165,"Patients who reported NO, they would probably not or definitely not recommend the hospital",9,H_RECMND_DN
30011,ED2,165,"Patients who reported YES, they would definitely recommend the hospital",72,H_RECMND_DY
30011,ED2,165,"Patients who reported YES, they would probably recommend the hospital",19,H_RECMND_PY
30012,ED2,98,"Patients who reported NO, they would probably not or definitely not recommend the hospital",4,H_RECMND_DN
30012,ED2,98,"Patients who reported YES, they would definitely recommend the hospital",68,H_RECMND_DY
